0 0.246056
1 0.198839
2 0.173696
3 0.158871
4 0.133345
5 0.121739
6 0.113969
7 0.111420
8 0.111061
9 0.111059
10 0.102986
11 0.090924
12 0.084938
13 0.074069
14 0.065796
15 0.062829
16 0.061894
17 0.061567
18 0.056263
19 0.055310
20 0.054368
21 0.048548
22 0.038126
23 0.036991
24 0.036691
25 0.036448
26 0.035737
27 0.035269
28 0.032494
29 0.031598
30 0.030505
31 0.030496
32 0.030495
33 0.030208
34 0.029221
35 0.029221
36 0.029051
37 0.027867
38 0.027734
39 0.027142
40 0.026124
41 0.025901
42 0.024766
43 0.024356
44 0.023982
45 0.023588
46 0.023380
47 0.023000
48 0.022858
49 0.022854
50 0.022451
51 0.022333
52 0.020487
53 0.018655
54 0.018651
55 0.018000
56 0.017510
57 0.017283
58 0.017034
59 0.016567
60 0.016159
61 0.015992
62 0.015989
63 0.015521
64 0.014820
65 0.014672
66 0.014431
67 0.014171
68 0.013922
69 0.013725
70 0.013723
71 0.012811
72 0.012584
73 0.011962
74 0.011194
75 0.010902
76 0.010778
77 0.010448
78 0.010400
79 0.010382
80 0.010343
81 0.009972
82 0.009640
83 0.009622
84 0.009454
85 0.009451
86 0.009344
87 0.009310
88 0.009096
89 0.008985
90 0.008860
91 0.008737
92 0.008485
93 0.008469
94 0.008467
95 0.008409
96 0.008298
97 0.008255
98 0.008234
99 0.008234
