0 0.267415
1 0.251401
2 0.119403
3 0.108951
4 0.106284
5 0.098980
6 0.095889
7 0.094402
8 0.092886
9 0.088640
10 0.086377
11 0.083862
12 0.083860
13 0.073537
14 0.071994
15 0.068828
16 0.066800
17 0.064821
18 0.052917
19 0.052302
20 0.047141
21 0.046267
22 0.042601
23 0.039510
24 0.038539
25 0.037598
26 0.035988
27 0.035844
28 0.033415
29 0.032541
30 0.027196
31 0.025526
32 0.025119
33 0.024843
34 0.024837
35 0.024836
36 0.024065
37 0.023421
38 0.022963
39 0.022817
40 0.022419
41 0.021815
42 0.021676
43 0.021670
44 0.021669
45 0.021424
46 0.021334
47 0.021282
48 0.021094
49 0.019744
50 0.019691
51 0.018415
52 0.018415
53 0.018188
54 0.017762
55 0.017560
56 0.017338
57 0.017337
58 0.017296
59 0.017220
60 0.017015
61 0.015938
62 0.015868
63 0.015117
64 0.015093
65 0.015036
66 0.014509
67 0.013987
68 0.013368
69 0.013064
70 0.012981
71 0.012908
72 0.012788
73 0.012730
74 0.012584
75 0.012578
76 0.012542
77 0.012325
78 0.012286
79 0.012176
80 0.011974
81 0.011714
82 0.011493
83 0.011345
84 0.011296
85 0.011296
86 0.010541
87 0.010508
88 0.010127
89 0.010081
90 0.010078
91 0.009828
92 0.009798
93 0.009645
94 0.009435
95 0.009385
96 0.008858
97 0.008842
98 0.008661
99 0.008577
