1 0.190476 0.111111 0.000000
5 0.385865 0.102623 0.111111
10 0.440123 0.171103 0.333333
15 0.477905 0.200179 0.363636
20 0.496805 0.241393 0.379310
25 0.534647 0.239367 0.428571
30 0.565124 0.250592 0.395349
35 0.534236 0.255949 0.346154
40 0.547038 0.258941 0.379310
45 0.528096 0.277543 0.406250
50 0.530253 0.279882 0.449275
55 0.537920 0.280965 0.428571
60 0.531111 0.296300 0.395349
70 0.526257 0.301289 0.428571
80 0.497975 0.299008 0.403509
90 0.496996 0.309296 0.406250
100 0.489312 0.309346 0.438849
