0 0.151383
1 0.114159
2 0.112110
3 0.109040
4 0.085549
5 0.085545
6 0.082181
7 0.080388
8 0.079002
9 0.078608
10 0.077702
11 0.071858
12 0.070613
13 0.068832
14 0.064081
15 0.056608
16 0.054289
17 0.049268
18 0.047155
19 0.046508
20 0.042611
21 0.040178
22 0.039043
23 0.038956
24 0.036570
25 0.035895
26 0.033177
27 0.032952
28 0.032638
29 0.032622
30 0.032291
31 0.030109
32 0.029015
33 0.028442
34 0.027345
35 0.027219
36 0.026588
37 0.026046
38 0.025872
39 0.024700
40 0.023962
41 0.023897
42 0.023818
43 0.023784
44 0.023040
45 0.022429
46 0.021922
47 0.021609
48 0.021409
49 0.020319
50 0.018968
51 0.018738
52 0.018144
53 0.018139
54 0.018137
55 0.018005
56 0.016449
57 0.015857
58 0.014837
59 0.014598
60 0.014411
61 0.014279
62 0.013891
63 0.013618
64 0.013529
65 0.013269
66 0.013199
67 0.013050
68 0.013049
69 0.013048
70 0.012738
71 0.012735
72 0.012480
73 0.012403
74 0.012097
75 0.011757
76 0.011754
77 0.011509
78 0.010804
79 0.010707
80 0.010669
81 0.010322
82 0.010234
83 0.010072
84 0.010024
85 0.009961
86 0.009658
87 0.009637
88 0.009576
89 0.009546
90 0.009517
91 0.009353
92 0.009318
93 0.009289
94 0.009228
95 0.009227
96 0.008871
97 0.008853
98 0.008818
99 0.008772
